Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg Run Cadence,Max Run Cadence,Training Stress Score®,Max Avg Power (20 min),Avg Power,Max Power,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Total Reps,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Hiking,2022-12-21 10:40:56,false,"Monte Castello di Vibio Hiking","6.30","472","01:32:43","99","122","1.0","90","159","14:43","10:02","89","78","0.75","0.0","0.0","0","0","0","0.0","--","0","0","0.0","0.0","--","0","0","0","0:00","21.0","0:00","No","00:03.93.8","3","0.0","01:22:39","01:32:43","-59","-27"
Mountain Biking,2022-12-14 09:17:47,false,"Teignbridge Mountain Biking","12.81","916","01:08:34","153","188","4.2","0","0","11.2","28.7","175","174","0.00","0.0","0.0","0","0","0","0.0","--","0","0","28.2","3.2","--","0","0","0","0:00","15.0","0:00","No","14:19.80.2","3","0.0","01:00:25","01:08:34","158","267"
Running,2022-12-12 14:38:08,false,"Exeter Running","9.73","747","01:03:58","138","156","3.2","163","177","6:34","4:57","55","56","0.93","0.0","0.0","0","0","0","0.0","--","0","0","0.0","0.0","--","0","0","0","0:00","9.0","0:00","No","04:43.60.8","10","0.0","01:02:58","01:03:58","6","40"
Running,2022-12-07 15:48:15,false,"Exeter Running","5.66","444","00:41:19","127","151","2.9","139","232","7:18","3:29","27","25","1.01","0.0","0.0","0","0","0","0.0","--","0","0","0.0","0.0","--","0","0","0","0:00","15.0","0:00","No","05:35.67.4","6","0.0","00:34:22","00:41:19","8","23"
Running,2022-12-05 12:38:49,false,"Exeter Running","5.11","397","00:36:00","129","150","2.7","149","175","7:03","4:55","23","28","0.95","0.0","0.0","0","0","0","0.0","--","0","0","0.0","0.0","--","0","0","0","0:00","18.0","0:00","No","00:49.93.8","6","0.0","00:33:52","00:36:00","4","17"
Running,2022-12-02 15:08:53,false,"Exeter Running","8.26","621","00:49:36","137","149","3.2","167","174","6:00","5:26","18","19","1.00","0.0","0.0","0","0","0","0.0","--","0","0","0.0","0.0","--","0","0","0","0:00","18.0","0:00","No","01:26.81.8","9","0.0","00:49:04","00:49:36","6","20"
Running,2022-11-30 16:04:14,false,"Exeter Running","5.32","398","00:30:22","139","156","3.1","165","176","5:42","4:28","30","29","1.06","0.0","0.0","0","0","0","0.0","--","0","0","0.0","0.0","--","0","0","0","0:00","17.0","0:00","No","01:53.16.6","6","0.0","00:29:55","00:30:22","6","24"
Running,2022-11-29 16:06:28,false,"Exeter Running","7.25","568","00:42:17","145","168","3.5","160","192","5:50","0:35","38","52","1.08","0.0","0.0","0","0","0","0.0","--","0","0","0.0","0.0","--","0","0","0","0:00","17.0","0:00","No","01:18.41.6","8","0.0","00:40:52","00:42:17","10","38"
Hiking,2022-11-27 10:33:10,false,"Teignbridge Hiking","9.21","630","02:22:58","92","157","2.2","67","235","15:31","1:02","180","158","0.97","0.0","0.0","0","0","0","0.0","--","0","0","0.0","0.0","--","0","0","0","0:00","21.0","0:00","No","02:22:57.74.2","1","0.0","01:29:18","02:22:58","73","205"
Road Cycling,2022-11-25 13:09:59,false,"Exeter Road Cycling","18.38","559","00:52:33","0","0","0.1","0","0","21.0","30.2","29","34","0.00","0.0","0.0","0","0","0","0.0","--","0","0","0.0","0.0","--","0","0","0","0:00","11.0","0:00","No","08:40.18.4","3","0.0","00:49:14","01:02:36","-2","11"
Running,2022-11-24 15:34:36,false,"Exeter Running","8.27","619","00:49:37","135","150","3.2","163","174","6:00","4:57","25","27","1.02","0.0","0.0","0","0","0","0.0","--","0","0","0.0","0.0","--","0","0","0","0:00","16.0","0:00","No","01:24.94.5","9","0.0","00:49:01","00:49:37","3","24"
Running,2022-11-23 13:42:22,false,"Exeter Running","6.27","473","00:36:02","141","162","3.2","164","187","5:45","3:06","16","17","1.06","0.0","0.0","0","0","0","0.0","--","0","0","0.0","0.0","--","0","0","0","0:00","19.0","0:00","No","01:46.37.1","7","0.0","00:35:32","00:36:02","6","18"
Running,2022-11-22 13:23:10,false,"Exeter Running","8.28","643","00:48:16","148","165","3.6","165","176","5:50","3:59","35","35","1.04","0.0","0.0","0","0","0","0.0","--","0","0","0.0","0.0","--","0","0","0","0:00","16.0","0:00","No","01:30.55.9","9","0.0","00:48:04","00:48:16","0","21"
Running,2022-11-20 10:07:02,false,"Exeter Running","6.24","477","00:35:54","143","161","3.3","165","174","5:45","4:50","12","13","1.05","0.0","0.0","0","0","0","0.0","--","0","0","0.0","0.0","--","0","0","0","0:00","18.0","0:00","No","01:13.37.1","7","0.0","00:35:32","00:35:54","6","18"
Running,2022-11-17 17:01:03,false,"Exeter Running","7.27","577","00:43:40","147","161","3.3","163","242","6:00","5:19","36","31","1.02","0.0","0.0","0","0","0","0.0","--","0","0","0.0","0.0","--","0","0","0","0:00","14.0","0:00","No","01:32.35.6","8","0.0","00:43:10","00:43:40","9","31"
Pool Swimming,2022-11-16 08:14:07,false,"Pool Swimming","1,000","205","00:26:06","128","161","2.4","0","0","2:04","1:40","--","--","0.00","0.0","0.0","0","0","0","0.0","--","0","0","0.0","0.0","470","43","23","0","0:00","0.0","0:00","No","00:08.81.2","10","0.0","00:20:40","00:26:19","--","--"
Running,2022-11-15 16:11:50,false,"Exeter Running","6.25","513","00:40:07","145","160","3.3","150","173","6:25","4:30","20","25","1.06","0.0","0.0","0","0","0","0.0","--","0","0","0.0","0.0","--","0","0","0","0:00","13.0","0:00","No","04:40.21.8","7","0.0","00:36:19","00:40:07","3","27"
Running,2022-11-14 15:09:24,false,"Exeter Running","4.43","356","00:27:49","141","167","3.0","159","175","6:17","5:03","10","5","1.00","0.0","0.0","0","0","0","0.0","--","0","0","0.0","0.0","--","0","0","0","0:00","19.0","0:00","No","00:05.55.8","6","0.0","00:27:25","00:27:49","-37","-28"
Running,2022-11-07 13:56:42,false,"Exeter Running","4.48","407","00:28:29","157","179","3.4","166","174","6:21","5:26","38","30","0.95","0.0","0.0","0","0","0","0.0","--","0","0","0.0","0.0","--","0","0","0","0:00","20.0","0:00","No","03:04.03.3","5","0.0","00:28:23","00:28:29","62","75"
Cardio,2022-11-07 13:18:34,false,"Cardio","0.00","245","00:31:15","112","145","1.6","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","--","0","0","0.0","0.0","--","0","0","0","0:00","25.0","0:00","No","31:14.98.9","1","0.0","00:00:00","00:31:15","--","--"
Hiking,2022-10-22 09:16:54,false,"Cornwall Hiking","7.84","487","01:53:39","88","130","0.6","81","240","14:30","4:52","170","178","0.85","0.0","0.0","0","0","0","0.0","--","0","0","0.0","0.0","--","0","0","0","0:00","22.0","0:00","No","01:53:39.18.2","1","0.0","01:24:33","02:55:59","1","64"
Hiking,2022-10-15 12:30:11,false,"West Devon Hiking","7.34","726","02:12:24","102","156","2.4","70","237","18:02","6:08","260","315","0.79","0.0","0.0","0","0","0","0.0","--","0","0","0.0","0.0","--","0","0","0","0:00","16.0","0:00","No","02:12:23.53.4","1","0.0","01:28:03","02:12:24","273","485"
Running,2022-10-12 16:39:34,false,"Exeter Running","7.40","553","00:49:15","127","140","2.5","160","172","6:40","4:46","30","33","0.94","0.0","0.0","0","0","0","0.0","--","0","0","0.0","0.0","--","0","0","0","0:00","19.0","0:00","No","02:30.11.9","8","0.0","00:48:19","00:49:15","3","23"
Pool Swimming,2022-10-12 08:14:51,false,"Pool Swimming","1,225","251","00:30:21","131","160","2.6","0","0","2:02","1:32","--","--","0.00","0.0","0.0","0","0","0","0.0","--","0","0","0.0","0.0","567","42","23","0","0:00","0.0","0:00","No","00:01.67.7","10","0.0","00:24:53","00:30:29","--","--"
Running,2022-10-11 16:16:13,false,"Exeter Running","8.28","630","00:47:44","143","157","3.2","166","175","5:46","4:50","30","31","1.04","0.0","0.0","0","0","0","0.0","--","0","0","0.0","0.0","--","0","0","0","0:00","19.0","0:00","No","00:06.59.2","10","0.0","00:47:11","00:47:44","-3","20"
Road Cycling,2022-10-08 16:24:24,false,"Teignbridge Road Cycling","14.42","424","00:43:45","0","0","0.1","0","0","19.8","38.9","35","33","0.00","0.0","0.0","0","0","0","0.0","--","0","0","0.0","0.0","--","0","0","0","0:00","14.0","0:00","No","18:36.98.4","2","0.0","00:42:29","01:44:54","-0","9"
Road Cycling,2022-10-08 11:57:42,false,"Exeter Road Cycling","15.65","502","02:27:43","0","0","0.1","0","0","6.4","30.6","48","50","0.00","0.0","0.0","0","0","0","0.0","--","0","0","0.0","0.0","--","0","0","0","0:00","15.0","0:00","No","28:06.98.8","2","0.0","00:58:29","02:27:43","4","118"
Pool Swimming,2022-10-07 07:52:50,false,"Pool Swimming","1,200","248","00:27:38","142","168","3.0","0","0","2:02","1:45","--","--","0.00","0.0","0.0","0","0","0","0.0","--","0","0","0.0","0.0","555","42","23","0","0:00","0.0","0:00","No","00:09.55","8","0.0","00:24:17","00:27:51","--","--"
Running,2022-10-06 16:49:16,false,"Exeter Running","4.73","367","00:24:50","160","177","3.3","169","181","5:15","4:23","28","22","1.13","0.0","0.0","0","0","0","0.0","--","0","0","0.0","0.0","--","0","0","0","0:00","20.0","0:00","No","04:24.93","5","0.0","00:24:42","00:24:50","10","21"
Running,2022-10-04 16:05:57,false,"Exeter Running","8.25","641","00:47:00","149","158","3.5","167","189","5:42","4:52","19","17","1.05","0.0","0.0","0","0","0","0.0","--","0","0","0.0","0.0","--","0","0","0","0:00","21.0","0:00","No","01:17.82.1","9","0.0","00:46:49","00:47:00","5","18"
Running,2022-10-03 17:38:24,false,"Exeter Running","6.21","464","00:35:41","136","153","3.1","165","177","5:45","4:47","7","8","1.06","0.0","0.0","0","0","0","0.0","--","0","0","0.0","0.0","--","0","0","0","0:00","20.0","0:00","No","01:04.58.1","7","0.0","00:35:34","00:35:41","6","16"
Pool Swimming,2022-09-29 08:01:23,false,"Pool Swimming","1,000","214","00:28:42","134","159","2.7","0","0","1:57","1:44","--","--","0.00","0.0","0.0","0","0","0","0.0","--","0","0","0.0","0.0","463","41","24","0","0:00","0.0","0:00","No","00:01.10.1","10","0.0","00:19:25","00:28:50","--","--"
Running,2022-09-28 15:09:44,false,"Exeter Running","8.34","629","00:48:02","139","159","3.4","162","225","5:46","2:45","45","43","1.07","0.0","0.0","0","0","0","0.0","--","0","0","0.0","0.0","--","0","0","0","0:00","19.0","0:00","No","02:05.55.5","9","0.0","00:46:47","00:48:02","3","18"
Pool Swimming,2022-09-28 08:26:42,false,"Pool Swimming","1,200","248","00:29:34","128","151","2.3","0","0","2:01","1:46","--","--","0.00","0.0","0.0","0","0","0","0.0","--","0","0","0.0","0.0","546","42","23","0","0:00","0.0","0:00","No","00:00.74","10","0.0","00:24:12","00:29:42","--","--"
Running,2022-09-27 15:19:55,false,"Exeter Running","5.57","457","00:34:04","142","165","3.4","157","216","6:07","4:34","38","37","1.04","0.0","0.0","0","0","0","0.0","--","0","0","0.0","0.0","--","0","0","0","0:00","19.0","0:00","No","03:12.40.8","6","0.0","00:32:24","00:34:04","5","19"
Running,2022-09-22 18:46:10,false,"Exeter Running","4.52","355","00:28:32","132","149","2.9","155","175","6:18","4:11","23","20","1.02","0.0","0.0","0","0","0","0.0","--","0","0","0.0","0.0","--","0","0","0","0:00","21.0","0:00","No","03:14.04.4","5","0.0","00:27:03","00:28:32","10","20"
Pool Swimming,2022-09-22 08:17:42,false,"Pool Swimming","1,200","248","00:32:52","124","148","2.2","0","0","2:04","1:46","--","--","0.00","0.0","0.0","0","0","0","0.0","--","0","0","0.0","0.0","561","43","23","0","0:00","0.0","0:00","No","00:07.67.2","12","0.0","00:24:47","00:33:02","--","--"
Mountain Biking,2022-09-21 12:11:38,false,"Teignbridge Mountain Biking","21.23","1,706","02:56:34","140","193","5.0","0","0","7.2","28.0","534","496","0.00","0.0","0.0","0","0","0","0.0","--","0","0","64.4","3.6","--","0","0","0","0:00","22.0","0:00","No","10:12.76.3","5","0.0","01:54:50","03:49:56","136","267"
Running,2022-09-20 17:31:52,false,"Exeter Running","6.21","480","00:34:40","144","158","3.5","163","184","5:35","4:06","12","14","1.10","0.0","0.0","0","0","0","0.0","--","0","0","0.0","0.0","--","0","0","0","0:00","20.0","0:00","No","01:04.70.9","7","0.0","00:33:40","00:34:40","5","19"
Pool Swimming,2022-09-20 08:12:47,false,"Pool Swimming","1,200","243","00:35:06","131","156","2.6","0","0","2:04","1:50","--","--","0.00","0.0","0.0","0","0","0","0.0","--","0","0","0.0","0.0","584","43","24","0","0:00","0.0","0:00","No","00:01.06.2","12","0.0","00:24:45","00:35:13","--","--"
Road Cycling,2022-09-19 11:14:46,false,"Exeter Road Cycling","39.25","1,075","04:17:25","0","0","0.1","0","0","9.1","40.9","230","222","0.00","0.0","0.0","0","0","0","0.0","--","0","0","0.0","0.0","--","0","0","0","0:00","16.0","0:00","No","21:21.85.3","5","0.0","02:24:33","07:40:17","13","35"
Running,2022-09-14 17:31:30,false,"Rushmoor Running","9.42","753","00:57:52","146","183","3.8","161","185","6:09","3:36","121","123","1.01","0.0","0.0","0","0","0","0.0","--","0","0","0.0","0.0","--","0","0","0","0:00","22.0","0:00","No","02:15.47.5","10","0.0","00:57:41","00:57:52","60","104"
Running,2022-09-02 15:44:46,false,"Running","7.39","519","00:44:12","137","157","2.9","163","201","5:59","3:50","79","74","1.03","0.0","0.0","0","0","0","0.0","--","0","0","0.0","0.0","--","0","0","0","0:00","24.0","0:00","No","02:18.26.4","8","0.0","00:00:00","00:44:12","90","123"
Hiking,2022-08-29 10:09:21,false,"Mole Valley Hiking","14.09","1,104","03:23:06","102","151","1.7","88","248","14:24","0:57","531","550","0.79","0.0","0.0","0","0","0","0.0","--","0","0","0.0","0.0","--","0","0","0","0:00","24.0","0:00","No","03:23:06.32.5","1","0.0","02:42:07","03:53:11","41","219"
Mountain Biking,2022-08-26 17:22:55,false,"Rushmoor Mountain Biking","16.98","719","01:18:57","130","160","3.1","0","0","12.9","37.3","285","272","0.00","0.0","0.0","0","0","0","0.0","--","0","0","31.2","3.0","--","0","0","0","0:00","22.0","0:00","No","06:34.43.4","4","0.0","01:14:25","01:18:57","60","111"
Hiking,2022-08-25 08:39:17,false,"Gwynedd Hiking","13.75","1,973","04:38:16","123","176","3.8","76","229","20:14","6:40","1,044","1,040","0.65","0.0","0.0","0","0","0","0.0","--","0","0","0.0","0.0","--","0","0","0","0:00","21.0","0:00","No","04:38:15.95.5","1","0.0","03:25:13","04:51:24","63","1,081"
